study_id,study,title,dataset_match,employee_performance,same_or_similar_dataset,leakage_policy,nested_cv,calibration,exact_fold_explanations,shap_stability,subgroup_analysis,proxy_reconstruction,second_dataset,artifact_provenance
S01,Archana B. (2019),Application of Machine Learning in Employee Performance Prediction,exact_inx,yes,yes,no,no,no,not_applicable,not_applicable,not_reported,no,no,no
S02,"Lather, Anu Singh (2019)",Prediction of Employee Performance Using Machine Learning Techniques,similar_employee_performance_psychometric,yes,partial,not_reported,no,no,not_applicable,not_applicable,not_reported,no,no,no
S03,"Li, Merry Grace T. (2021)",Employee Performance Prediction Using Different Supervised Classifiers,similar_private_employee_performance,yes,partial,no,no,no,not_applicable,not_applicable,no,no,no,no
S04,"Patel, Keyur (2022)",RanKer: An AI-Based Employee-Performance Classification Scheme to Rank and Identify Low Performers,exact_inx,yes,yes,no,no,no,not_applicable,not_applicable,no,no,no,no
S05,"Adeniyi, Jide Kehinde (2022)",Comparative Analysis of Machine Learning Techniques for the Prediction of Employee Performance,exact_hrdataset_v14,yes,yes,no,no,no,not_applicable,not_applicable,no,no,no,no
S06,"Nayem, Zannatul (2024)",Unbiased Employee Performance Evaluation Using Machine Learning,similar_employee_performance_bangladesh,yes,partial,not_reported,not_reported,no,not_applicable,not_applicable,not_reported,no,no,no
S07,"Abu-Faty, Hagar G. (2025)",Integrating Generative AI and Machine Learning Classifiers for Solving Heterogenous MCGDM: A Case of Employee Churn Prediction,exact_inx_secondary_dataset,partial,yes,no,no,no,not_applicable,not_applicable,no,no,yes,partial
S08,"Putri, Jelly Helia (2026)",Klasifikasi Kinerja Pegawai Menggunakan Algoritma Random Forest,exact_inx,yes,yes,no,no,no,not_applicable,not_applicable,no,no,no,no
S09,"Chaudhary, Meenu (2025)",An Integrated Model to Evaluate the Transparency in Predicting Employee Churn Using Explainable Artificial Intelligence,similar_hr_attrition_xai,no,partial,not_reported,not_reported,no,not_reported,no,not_reported,no,not_reported,no
S10,"Tambe, Prasanna (2019)",Artificial Intelligence in Human Resources Management: Challenges and a Path Forward,none_conceptual_hr,partial,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
S11,"Leicht-Deobald, Ulrich (2019)",The Challenges of Algorithm-Based HR Decision-Making for Personal Integrity,none_conceptual_hr,partial,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
S12,"Köchling, Alina (2020)",Discriminated by an Algorithm: A Systematic Review of Discrimination and Fairness by Algorithmic Decision-Making in the Context of HR Recruitment and HR Development,none_systematic_hr_review,partial,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
S13,"Giermindl, Lisa Marie (2021)",The Dark Sides of People Analytics: Reviewing the Perils for Organisations and Employees,none_people_analytics_review,partial,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
S14,"Lundberg, Scott M. (2017)",A Unified Approach to Interpreting Model Predictions,none_method,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,yes,no
S15,"Lundberg, Scott M. (2020)",From Local Explanations to Global Understanding with Explainable AI for Trees,none_method,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,yes,no
S16,"Alvarez-Melis, David (2018)",On the Robustness of Interpretability Methods,none_method,no,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,not_applicable,not_applicable,yes,no
S17,"Yeh, Chih-Kuan (2019)",On the (In)fidelity and Sensitivity of Explanations,none_method,no,no,not_applicable,not_applicable,not_applicable,not_applicable,partial,not_applicable,not_applicable,yes,no
S18,"Slack, Dylan (2020)",Fooling LIME and SHAP: Adversarial Attacks on Post Hoc Explanation Methods,none_method,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,partial,not_applicable,yes,no
S19,"Cawley, Gavin C. (2010)",On Over-fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation,none_method,no,no,partial,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,yes,no
S20,"Kaufman, Shachar (2012)","Leakage in Data Mining: Formulation, Detection, and Avoidance",none_method,no,no,yes,partial,not_applicable,not_applicable,not_applicable,not_applicable,partial,yes,no
S21,"Kapoor, Sayash (2023)",Leakage and the Reproducibility Crisis in Machine-Learning-Based Science,none_method,no,no,yes,partial,partial,not_applicable,not_applicable,not_applicable,partial,yes,partial
S22,"Guo, Chuan (2017)",On Calibration of Modern Neural Networks,none_method,no,no,partial,not_applicable,yes,not_applicable,not_applicable,not_applicable,not_applicable,yes,no
S23,"Vaicenavicius, Juozas (2019)",Evaluating Model Calibration in Classification,none_method,no,no,not_applicable,not_applicable,yes,not_applicable,not_applicable,not_applicable,not_applicable,yes,no
S24,"Mitchell, Margaret (2019)",Model Cards for Model Reporting,none_reporting_method,no,no,partial,not_applicable,partial,not_applicable,not_applicable,partial,not_applicable,not_applicable,partial
S25,"Pineau, Joelle (2021)",Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program),none_reproducibility_program,no,no,partial,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,partial
