system_id,v3_system_label,support_threshold,attribute,group,group_n,metric,metric_denominator,point_estimate,eligible_for_gap,support_status,higher_value_is_better,probability_source,inference_scope,claim_boundary
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,macro_f1,267,0.6245917133613935,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,balanced_accuracy,30,0.6281792281792281,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,quadratic_weighted_kappa,30,0.537237021038317,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,ordinal_mae,267,0.23595505617977527,True,eligible_descriptive_estimate,False,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,recall_class_2,39,0.8461538461538461,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,recall_class_3,198,0.8383838383838383,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,recall_class_4,30,0.2,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,multiclass_brier,267,0.32101872059665043,True,eligible_descriptive_estimate,False,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,18-29,267,log_loss,267,0.5226846796222792,True,eligible_descriptive_estimate,False,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,30-39,506,macro_f1,506,0.6022950812971382,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,30-39,506,balanced_accuracy,56,0.6103856039669272,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,30-39,506,quadratic_weighted_kappa,56,0.536124031007752,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,30-39,506,ordinal_mae,506,0.26877470355731226,True,eligible_descriptive_estimate,False,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,30-39,506,recall_class_2,79,0.8860759493670886,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,30-39,506,recall_class_3,371,0.784366576819407,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
no_salary_hike_no_attrition,P1_LEAKAGE_CONTROLLED_COMPARATOR,20,Age,30-39,506,recall_class_4,56,0.16071428571428573,True,eligible_descriptive_estimate,True,exact_raw_uncalibrated_canonical_oof,descriptive_exactly_once_oof,exploratory_subgroup_audit_not_fairness_certification_or_discrimination_evidence
