run_id,config_hash,component,evidence_file,evidence_state,interpretation_status,limitation,autonomous_hr_ready
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Performance adequacy,policy/policy_summary.csv,present,research_only,Model utility does not establish deployment fitness.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Leakage robustness,policy/leakage_sensitivity_index.csv,present,pass_with_limits,Full-feature evidence is diagnostic only.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Calibration reliability,calibration/calibration_method_comparison.csv,present,pass_with_limits,Probabilities remain approximate.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Explanation stability,shap/shap_stability_summary.csv,present,pass_with_limits,"SHAP is attribution, not causality.",False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Fairness and subgroup support,fairness/manuscript_fairness_proxy_table.csv,present,warning,Audits do not prove fairness.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Proxy risk,fairness/proxy_policy_comparison.csv,present,warning,Reconstructability is risk evidence only.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Counterfactual actionability,counterfactual/actionability_summary.csv,present,warning,Scenarios are not employee prescriptions.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,LLM evidence readiness,llm/preflight_report.json,present,research_only,Compliance is conditional on complete evidence.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Chatbot guardrails,chatbot/category_summary.csv,present,pass_with_limits,Deterministic suite is not comprehensive safety proof.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,External evidence,external/external_dataset_roles.csv,present,research_only,Replication and related tasks have distinct claim boundaries.,False
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,Data provenance,provenance/dataset_cards.json,present,manual_review_required,Licence/source authenticity requires manual review.,False
