evidence_id,category,path,file_type,manuscript_grade_status,run_scope,real_llm_used,claim_role,row_count,sha256,required_for_package,notes
final_case_manifest,llm_agent_final_real,reports/llm_explanations/eval_case_manifest.csv,csv,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,80,b3f042fef06cb5fe203ecbfa0f71abdde68f752b28c08822b1a2f640b959c143,True,Case manifest for 40 INX and 40 HRDataset_v14 final real OpenAI cases.
final_governed_explanations,llm_agent_final_real,reports/llm_explanations/governed_explanations.jsonl,jsonl,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,80,f17a6b1ea327b666b8a7b9270d4b419f061982a6a44c8d88983cebecfb78d49b,True,Structured real OpenAI governed explanation outputs for final cases.
final_faithfulness_eval,llm_agent_final_real,reports/llm_explanations/faithfulness_eval.csv,csv,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,80,517eb32d5d4909e0115f5707a7f9820d32355df753d30c850d2abc5df7580371,True,Deterministic faithfulness/compliance evaluation for final real OpenAI outputs.
final_faithfulness_summary,llm_agent_final_real,reports/llm_explanations/faithfulness_eval_summary.md,markdown,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,,66ad5228b7062fa86909ceeb3d57cc63ecf1eaaba4f1e21372d503d84b3e0a45,True,Markdown summary of final real OpenAI faithfulness metrics.
final_llm_agent_summary_csv,llm_agent_final_real,reports/llm_explanations/llm_agent_eval_summary.csv,csv,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,1,b7cfcbbf9560a097e146c06982d0c02a33b6622012cb06c3c192a82bfa375830,True,Integrated final 80-case real OpenAI LLM-agent metrics.
final_llm_agent_summary_md,llm_agent_final_real,reports/llm_explanations/llm_agent_eval_summary.md,markdown,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,,1269b2ef18e780d4db2d420ae77383b2893efd96599bdb5576b23faa5dc8de89,True,Markdown integrated final 80-case real OpenAI LLM-agent summary.
final_agent_audit_csv,agent_audit_final,reports/agent_audits/agent_audit_results.csv,csv,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,560,0881ff347c7814cced3aba0692c746319be37841f2e0facd47575cf96da180b5,True,Deterministic batch governance agent outputs for final explanations.
final_agent_audit_jsonl,agent_audit_final,reports/agent_audits/agent_audit_results.jsonl,jsonl,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,560,ce18187d05ea0f70117f95387ea4f3f17b258d1e1c859f1111efe4dec5aa01ef,True,Machine-readable batch governance agent outputs.
final_agent_audit_md,agent_audit_final,reports/agent_audits/multi_agent_governance_audit.md,markdown,primary_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,True,supports final 80-case manuscript-grade technical evidence,,252b91d65fa5373cd5546927eab23f1855f618446272ae7a4c1eede837ac0dee,True,Markdown batch governance agent audit summary.
chatbot_guardrail_eval_csv,chatbot_guardrails,reports/chatbot_eval/guardrail_evaluation.csv,csv,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports automated guardrail compliance evidence,75,e792a6d0b2422735e78900d41eee6a5e676470a915b32bb121ea04f0cbde8180,False,Deterministic safe/unsafe chatbot guardrail evaluation.
chatbot_guardrail_summary,chatbot_guardrails,reports/chatbot_eval/guardrail_evaluation_summary.md,markdown,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports automated guardrail compliance evidence,,834c97083046f3bc0f738e5785dcc5066b96b16ba52e5abad7de5c7669985ed6,False,Markdown chatbot guardrail evaluation summary.
unsafe_prompt_suite,chatbot_guardrails,reports/chatbot_eval/unsafe_prompt_suite.csv,csv,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports automated guardrail compliance evidence,50,1e8e5bd7bacc439bdfebf5524cf4eae37e573edc82e439865df049e08cdd35c7,False,Unsafe/adversarial prompt suite.
safe_prompt_suite,chatbot_guardrails,reports/chatbot_eval/safe_prompt_suite.csv,csv,supporting_manuscript_grade,final_80_real_openai_inx_primary_hrdataset_v14,,supports automated guardrail compliance evidence,25,d07271517e34779c1e7eecf72907a28c781bf6afd0c08051b3120cf0904a8a1d,False,Safe governance/audit prompt suite.
