claim_id,manuscript_section,component,claim_type,support_level,approval_status,proposed_claim,source_path,source_sha256,source_selector,source_row_number,source_column,exact_value,display_value,rounding_places,display_scale,evidence_anchor,evidence_scope,mandatory_qualifier,prohibited_overclaim
C001,Methods — estimand and information contract,feature_contract,narrative,procedural_boundary,approved,"The INX analysis is a cross-sectional sensitivity study under explicit feature-availability assumptions, not an observed prospective prediction exercise.",reports/research_log/major_revision_v3/FEATURE_AVAILABILITY_GOVERNANCE_CONTRACT.md,0f19e17db84e17f0a5e3aad179efb8323a37d5b63b9b032e119deadd159a7201,{},,,,,,,conceptual_estimand_only_no_observed_feature_or_decision_timestamps,Declared scenario and feature-availability contract for the INX cross-sectional table.,"Feature and decision timestamps are unobserved, and prospective availability is not verified.","Do not describe any policy as leakage-free, prospective validation, or deployment evidence."
C002,Results — ordinal benchmark,phase1b,narrative,bounded_synthesis,approved,The benchmark identifies metric-specific leaders rather than one universally superior model.,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/README.md,f6ca7b8e8a48addaf6541595e0038d54eab8fb655c54d18c7b734844e74fb64c,{},,,,,,,"They do not establish prospective validity, causality, fairness, deployment readiness, or a universally best model.",Nine systems evaluated on common exactly-once out-of-fold INX predictions.,"Leadership is conditional on the metric, P3 feature policy, and frozen cross-validation protocol.",Do not name any system as universally best or deployment-ready.
C003,Results — training variability,phase1c,narrative,procedural_boundary,approved,The five-repetition ranges describe training and split variability and are not confidence intervals.,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/README.md,3631b3508bcbbfa181b6503bd6ff7ff76ca9d9eb57f315ecd0200794047647c6,{},,,,,,,"The reported minimum–maximum ranges are empirical repetition ranges, not confidence intervals",Five prespecified repeated 5×5 nested-cross-validation designs.,The summaries reflect only the five fixed repetition identities and their shared sample.,Do not present empirical repetition ranges as sampling confidence intervals.
C004,Results — information-policy sensitivity,phase1d,narrative,procedural_boundary,approved,Fixed-schedule and independently retuned policy contrasts answer different descriptive questions and neither estimates a causal feature-policy effect.,reports/research_log/major_revision_v3/phase1d_policy_retuning/README.md,6454f8eae651fee2b40d9b9e5834d623cbb69e6e381749446bbf079036ca41a1,{},,,,,,,Neither is a causal feature or retuning effect.,Matched fixed-schedule and policy-specific retuned P0–P5 estimands.,Retuned contrasts combine information access with policy-specific model selection.,Do not interpret policy differences as causal feature effects or real deployment performance.
C005,Results — explanation diagnostics,phase2a,narrative,procedural_boundary,approved,"SHAP stability and deletion behavior characterize the fitted model under the declared aggregation and masking interventions, not causal employee-level effects.",reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/README.md,3cfef71caf62e974e312fcebe92e8290b09c18ea7db048a9b89d0d94ff9235f9,{},,,,,,,Model attribution is not a causal feature effect,Exact-fold grouped TreeSHAP rankings and model-level median/mode deletion diagnostics.,"Masking can create out-of-distribution hybrid records, and comparison pairs are not independent.","Do not infer causality, actionability, human usefulness, or employee advice from SHAP."
C006,Results — calibration,phase2b,narrative,bounded_synthesis,approved,"Cross-fitted sigmoid calibration improved several probability-quality point estimates but worsened top-label ECE, so calibration conclusions remain metric-specific.",reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/README.md,506fa99890bc3a915b83cbef440050db2824be590308a954ca22ee8f6b95a938,{},,,,,,,its top-label ECE is worse,Predeclared training-only sigmoid versus raw exactly-once out-of-fold probabilities.,"New diagnostic differences lack intervals, and ECE depends on fixed binning and support.",Do not claim that calibration improved every metric or proves future calibration.
C007,Results — subgroup and proxy diagnostics,phase2c,narrative,procedural_boundary,approved,Department reconstructability and JobRole-dependent performance-model outputs are separate proxy-risk diagnostics and do not establish discrimination or fairness.,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/README.md,15654d4f69a36ba82009f0d80a38c059a4c4ba2dd55faee673f7a0eae9894a98,{},,,,,,,It does not prove that the performance model used department.,"Support-aware subgroup grid, paired refit comparison, perturbation sensitivity, and proxy reconstruction.","All diagnostics condition on this sample, fitted models, support rules, folds, and perturbations.","Do not claim fairness certification, discrimination, causal proxy effects, or legal compliance."
C008,Results — independent replication sensitivity,phase3a,narrative,procedural_boundary,approved,HRDataset_v14 provides an independently trained mapped-target protocol replication rather than locked-model external validation.,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/README.md,0ed65fed2414c386c53ee3f938c24b7f505bc4254adce6953ed727691b6afb83,{},,,,,,,It is not external validation of a locked INX model,Separately tuned and fitted XGBoost systems on 311 HRDataset_v14 records.,"Feature space, target semantics, parameters, and sample population differ from INX.","Do not call this locked transport, target equivalence, or unqualified external validation."
C009,Methods and limitations — data quality,phase3b,narrative,procedural_boundary,approved,"The targets are recorded organizational ratings; available documentation does not validate them as objective capability, productivity, or future potential.",reports/research_log/major_revision_v3/phase3b_data_quality/DATA_QUALITY_REPORT.md,7a7ff636b2803e399ec4b1ae30d9604769d15bd7e50b7cdb65a3ce8b81c26c2f,{},,,,,,,does not establish either target as true employee capability,Aggregate audit of the two canonical core datasets and their documented target fields.,The audit applies only to declared rules and does not establish construct validity.,Do not relabel organizational ratings as objective employee performance or capability.
C010,Discussion — novelty positioning,phase4a,narrative,bounded_synthesis,approved,"Within the frozen 25-work source-verified positioning set, no selected work reports the complete shared evidence contract used here.",reports/research_log/major_revision_v3/phase4a_literature/NOVELTY_POSITIONING.md,b32962d51746d31eba5122e6f4eb3e5c119a02558f0632f2a845f7d7dd435299,{},,,,,,,"Within this 25-work, source-verified positioning set, no selected work reports the complete shared evidence contract used here.","Bounded comparison across the 25 selected, source-verified works and coded evidence fields.",The statement is bounded to the frozen set and does not cover unobserved publications.,"Do not state world first, first ever, exhaustive review, or universal novelty."
